word,actual_v,actual_a,actual_d,pred_v,pred_a,pred_d,mae_overall,rmse_overall,mae_v,mae_a,mae_d,rmse_v,rmse_a,rmse_d,vad_variance
significance,0.4866214941718703,-0.1768115318586594,0.26822774105189007,0.5015197240607155,-0.1695366497317227,0.3096592872597035,0.02120155274119846,0.025764666922951436,0.01489822988884526,0.007274882126936694,0.04143154620781342,0.01489822988884526,0.007274882126936694,0.04143154620781342,0.0834645288837137
understand,0.45601129382420197,-0.3406146209395056,0.24067435284215083,0.44070299702180815,-0.32740056789274785,0.23335850441643377,0.011946066091622881,0.01241607542799221,0.015308296802393817,0.013214053046757768,0.007315848425717059,0.015308296802393817,0.013214053046757768,0.007315848425717059,0.09803679925707404
injured,-0.7393379896324477,0.14769954210316064,-0.507129378046695,-0.7329004385895387,0.16122921681791194,-0.4967553058011545,0.01011376600106693,0.010521652852930363,0.0064375510429089955,0.013529674714751305,0.010374072245540489,0.0064375510429089955,0.013529674714751305,0.010374072245540489,0.14971344497353828
administration,0.25886876443809825,0.09128420116103979,0.4104021779649344,0.2613379692801003,0.09774925513314947,0.3994082251641272,0.006642737204972961,0.007500242076102906,0.0024692048420020263,0.006465053972109683,0.010993952800807172,0.0024692048420020263,0.006465053972109683,0.010993952800807172,0.026759857719265923
specific,0.511787165199425,-0.21082155609313952,0.3068302786254337,0.5082146089792507,-0.20618813390700738,0.30346565792767166,0.003856866368022821,0.003896683698610747,0.003572556220174272,0.004633422186132136,0.003364620697762055,0.003572556220174272,0.004633422186132136,0.003364620697762055,0.08628718969970632
series,0.21242121532430613,-0.263663757121797,0.03806036795457315,0.21230010512641612,-0.2910003180919757,0.024548543713901347,0.013656498469580163,0.01760560164329462,0.00012111019789001753,0.02733656097017867,0.0135118242406718,0.00012111019789001753,0.02733656097017867,0.0135118242406718,0.04508888178090911
measure,0.2852739678871343,-0.01105929733187162,0.26731998937063567,0.2945526961194904,0.03680407941696223,0.2668368389834117,0.01920841845613797,0.02814978428400122,0.009278728232356093,0.047863376748833855,0.00048315038722396286,0.009278728232356093,0.047863376748833855,0.00048315038722396286,0.014299466893687031
foster,0.5047924980459377,0.07214435300459171,0.06521187629063327,0.501830300148461,0.07271547118597027,0.06837722747290353,0.0022328890870418616,0.0025245620391146826,0.0029621978974767593,0.0005711181813785604,0.003165351182270265,0.0029621978974767593,0.0005711181813785604,0.003165351182270265,0.036356531807397195
figure,0.23822947603381295,-0.22428170289538882,0.09932437742714445,0.2469166592626378,-0.20838383242352593,0.12056141447579269,0.015274030249778664,0.016116463431296624,0.008687183228824863,0.01589787047186289,0.02123703704864824,0.008687183228824863,0.01589787047186289,0.02123703704864824,0.03808614988492661
captain,0.1257559071654379,0.10838010812236869,0.3785953269434157,0.11606614604265154,0.10746870111279289,0.3705921777741163,0.006201439100553856,0.007274900457046901,0.00968976112278637,0.0009114070095758015,0.008003149169299395,0.00968976112278637,0.0009114070095758015,0.008003149169299395,0.012580336526301668
