word,actual_v,actual_a,actual_d,pred_v,pred_a,pred_d,mae_overall,rmse_overall,mae_v,mae_a,mae_d,word_length,trajectory_length,vad_variance,error_v,error_a,error_d
record,0.24442447144193888,-0.14283475944674118,0.0675399259299045,0.2425819171754051,-0.14796519742769418,0.06395977431912683,0.0035177146194214867,0.0037653634467198034,0.0018425542665337913,0.005130437980953001,0.003580151610777668,6,39,0.02754232693158518,-0.0018425542665337913,-0.005130437980953001,-0.003580151610777668
control,0.2623916391253673,0.020023693295554125,0.30150767229988623,0.2625926959797667,0.026917373254622463,0.2991742014861761,0.0031427358757259716,0.004203503827173967,0.00020105685439941734,0.006893679959068338,0.002333470813710159,7,39,0.017064703182808512,0.00020105685439941734,0.006893679959068338,-0.002333470813710159
maintenance,0.21781449779458134,-0.1406142030704488,0.21966860932883361,0.21954130781841058,-0.1407138669602782,0.2200405666197089,0.000732810401511306,0.001021462672766907,0.0017268100238292394,9.966388982940444e-05,0.0003719572908752744,11,39,0.030382717934004846,0.0017268100238292394,-9.966388982940444e-05,0.0003719572908752744
any,0.11927446080299468,-0.1027727906383675,0.20438402749618037,0.1274273806872426,-0.09063339065786727,0.21892111480859666,0.011609802392388147,0.011904649540611557,0.00815291988424792,0.012139399980500232,0.014537087312416291,3,39,0.017468995211673135,0.00815291988424792,0.012139399980500232,0.014537087312416291
honey,0.29934077945600684,-0.03738774432073236,0.09693914967243351,0.31257646411331613,-0.04174279223742754,0.14656946012645375,0.022407014342674902,0.029761930417155816,0.013235684657309288,0.004355047916695179,0.049630310454020235,5,39,0.019722871565319402,0.013235684657309288,-0.004355047916695179,0.049630310454020235
chain,0.08403418491639726,-0.23022238845663606,-0.03631868706763312,0.08745031648479744,-0.24730035037347697,-0.03200094004776098,0.008270613501704408,0.010359692361154737,0.003416131568400177,0.01707796191684091,0.0043177470198721354,5,39,0.017491802326750943,0.003416131568400177,-0.01707796191684091,0.0043177470198721354
dig,0.06343048293362226,0.016313547253120966,0.12009422818405066,0.10902084603710906,-0.06631036797962725,0.10075921506507268,0.04918309715173766,0.05561485205892153,0.0455903631034868,0.08262391523274822,0.01933501311897798,3,39,0.00885889758379359,0.0455903631034868,-0.08262391523274822,-0.01933501311897798
congressional,0.2860996473068689,-0.12679457166049446,0.3392578535629024,0.2823634143112645,-0.12552886544688177,0.3466189737024154,0.004121019782910028,0.004821740312548459,0.0037362329956043827,0.0012657062136126884,0.007361120139513011,13,39,0.043954544732156826,-0.0037362329956043827,0.0012657062136126884,0.007361120139513011
close,0.0436693893612383,-0.21132354460737207,0.02661976803789234,0.03621349484001551,-0.20316661160934982,0.030476763557395283,0.006489941012915996,0.006757769195113877,0.007455894521222792,0.008156932998022254,0.0038569955195029426,5,39,0.010072993073946367,-0.007455894521222792,0.008156932998022254,0.0038569955195029426
magic,0.32984108573701104,0.32174083904393036,0.3003999068377978,0.38448435798413916,0.349960868838204,0.3444313532831269,0.042298249495576944,0.04366930867146603,0.054643272247128116,0.028220029794273627,0.04403144644532908,5,39,0.00028002054356010114,0.054643272247128116,0.028220029794273627,0.04403144644532908
allowance,0.2742371192477368,-0.07143947239605099,0.14154322146212006,0.288241234959688,-0.08160380082524685,0.14309667326112532,0.008573965313384108,0.010030653713859836,0.014004115711951204,0.01016432842919586,0.001553451799005262,9,39,0.03399627671993982,0.014004115711951204,-0.01016432842919586,0.001553451799005262
tip,0.13162188673460837,-0.14050167627741778,-0.05758563242425976,0.08176340047569201,-0.11765452021573661,-0.07173498228110829,0.028951664059148684,0.03270099536461067,0.049858486258916354,0.022847156061681168,0.014149349856848535,3,39,0.006696548826402945,-0.049858486258916354,0.022847156061681168,-0.014149349856848535
drama,0.3814240960352647,0.2429526355083828,0.07563236613837072,0.38408147370513185,0.2664181855705559,0.09009196437392968,0.013527508655866391,0.015987220697945385,0.0026573776698671225,0.0234655500621731,0.014459598235558951,5,39,0.01412196910054776,0.0026573776698671225,0.0234655500621731,0.014459598235558951
throne,0.2912810498439555,-0.32431863626106555,0.196631811007077,0.2906360251399342,-0.32183059600174874,0.1961302018484394,0.0012115580406585613,0.0015119538075845365,0.0006450247040212798,0.002488040259316815,0.0005016091586375893,6,39,0.07200323295448935,-0.0006450247040212798,0.002488040259316815,-0.0005016091586375893
mortal,0.13632741197363707,-0.019115776185837787,0.17608046517737427,0.07809530694155427,-0.006677600207277826,0.16300215510174867,0.027916197028756123,0.0351981461281479,0.0582321050320828,0.012438175978559961,0.013078310075625599,6,39,0.0057212244566102995,-0.0582321050320828,0.012438175978559961,-0.013078310075625599
treatment,-0.08169665063294959,-0.0891628250923128,-0.16209034069314754,-0.05196741734878597,-0.10708023585109405,-0.14910935328001224,0.02020921048536006,0.02139600394297254,0.029729233284163624,0.017917410758781255,0.012980987413135303,9,39,0.008125798497728404,0.029729233284163624,-0.017917410758781255,0.012980987413135303
whole,0.2291063900811115,-0.17480395930547038,0.2046189280012419,0.18397197102712462,-0.12373810503601652,0.16878306084640926,0.04401204682609113,0.04445614554572781,0.04513441905398688,0.051065854269453856,0.03583586715483264,5,39,0.010702715828986478,-0.04513441905398688,0.051065854269453856,-0.03583586715483264
mile,0.2494143324708355,-0.40209881947666115,-0.03314542022267157,0.24938256532702816,-0.40238189490691983,-0.03340450674992837,0.00019130970044094198,0.00022231110277252123,3.1767143807343023e-05,0.00028307543025868354,0.00025908652725679937,4,39,0.07111521898430818,-3.1767143807343023e-05,-0.00028307543025868354,-0.00025908652725679937
